name,type,legacy_stack,legacy_path,evo_stack,evo_path,import_type,import_outcome,skip_reason,adapt_notes,commit_sha,test_count,removability,stage
/roles,endpoint,Express+pgPool+JWT,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\routes\roles.ts,Express+Prisma+@auth/express,D:\evo.heuresys.com\services\api-gateway\src\routes\roles.ts,clone-as-is,imported,,Action enum lowercase 'view' (era 'VIEW') · same constant export pattern,e10cb43,7,no-impact (router isolato + 1 mount line index.ts),Test Stage
/tenants,endpoint,Express+pgPool admin-pool,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\routes\tenants.ts,Express+Prisma direct cross-tenant,D:\evo.heuresys.com\services\api-gateway\src\routes\tenants.ts,adapted,partial,/tenants/:id/stats deferred (Prisma allowlist initially missing locations/goals/performance_reviews),9/10 handler · raw SQL Pool → Prisma direct · BigInt serialize via serializeTenant() · admin pool pattern via prisma direct,f54bf7d,26,no-impact (router isolato + 1 mount line index.ts),Test Stage
/users,endpoint,Express+pgPool+JWT+bcryptjs,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\routes\users.ts,Express+Prisma+@auth/express+bcryptjs,D:\evo.heuresys.com\services\api-gateway\src\routes\users.ts,adapted,imported,,9 handler · NextAuth v5 → v4 bridge · Prisma include employees+tenants · privilege escalation rules ported · bulk concurrent username uniqueness,3fc2117,24,no-impact (router isolato + 1 mount line index.ts),Test Stage
/employees (extend),endpoint,Express+pgPool+raw CTE,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\routes\employees.ts,Express+Prisma withTenant RLS,D:\evo.heuresys.com\services\api-gateway\src\routes\employees.ts,adapted,partial,Skip 9/18 handler legacy: analytics-stats stats dashboard-stats distribution/department :id/manager-chain :id/direct-reports :id/career-history (CTE recursive + applyFieldPolicy fuori scope MVP),Esteso file evo esistente con 7 nuovi handler · GET / cursor-pagination preservato · UncheckedUpdateInput per FK direct,c0099d1,19,embedded-in-existing-file (file esistente esteso · estirpazione = ripristino state pre-c0099d1),Test Stage
/org-units,endpoint,Express+pgPool+raw CTE+cache,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\routes\org-units.ts,Express+Prisma+JS tree assembly,D:\evo.heuresys.com\services\api-gateway\src\routes\org-units.ts,adapted,partial,Skip /:id/path /:id/move (recursive CTE → $queryRaw deferred Pack 1c) · cachedForTenant skipped (ROI),9/12 handler · raw SQL → Prisma + Map-based tree · org_level computed on POST/PATCH parent change · DELETE smart (children block · employees archive · else hard),5ef872a,21,no-impact (router isolato + 1 mount line index.ts),Test Stage
/workforce-planning,endpoint,Express+pgPool+WorkforcePlanningService class,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\routes\workforce-planning.ts,Express+Prisma+zod,D:\evo.heuresys.com\services\api-gateway\src\routes\workforce-planning.ts,adapted,partial,Skip 8/17 heavy aggregation handler: /inventory /gap-risk /hiring-recommendations /training-investments /projections /scenarios/:id/simulate · WorkforcePlanningService class (~500 LOC) NON portato,9/17 handler MVP CRUD · Decimal estimated_cost via new Prisma.Decimal() · enum action_type/priority,53a181a,15,depends-on-allowlist-expansion (workforce_plans + actions + scenarios) · router isolato + 1 mount line index.ts,Test Stage
escapeILIKE,helper,utils/sql-safety.ts legacy,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\utils\sql-safety.ts,utils/sql-safety.ts evo,D:\evo.heuresys.com\services\api-gateway\src\utils\sql-safety.ts,clone-as-is,imported,,1 funzione · escape backslash + % + _ for SQL ILIKE,f54bf7d,covered-via-tenants,no-impact (file isolato),Test Stage
safeParseInt,helper,utils/query-helpers.ts legacy,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\utils\query-helpers.ts,utils/pagination.ts evo,D:\evo.heuresys.com\services\api-gateway\src\utils\pagination.ts,adapted,imported,,Signature legacy {fallback} → evo positional fallback,f54bf7d,covered-implicitly,no-impact (file isolato),Test Stage
isUUID + UUID_REGEX,helper,utils/uuid.ts legacy isValidUUID,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\packages\shared\src\utils\uuid.ts,utils/pagination.ts evo,D:\evo.heuresys.com\services\api-gateway\src\utils\pagination.ts,adapted,imported,,Renamed isValidUUID → isUUID · regex identica,f54bf7d,covered-via-routes-tests,no-impact (file isolato),Test Stage
buildMeta,helper,utils/pagination.ts legacy,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\utils\pagination.ts,utils/pagination.ts evo,D:\evo.heuresys.com\services\api-gateway\src\utils\pagination.ts,adapted,imported,,Signature legacy buildMeta(total,limit,offset) → evo buildMeta({totalCount,limit,offset,rowCount}) · hasMore field added,f54bf7d,covered-via-tenants-list,no-impact (file isolato),Test Stage
validatePassword,helper,utils/password-policy.ts legacy,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\utils\password-policy.ts,utils/password-policy.ts evo,D:\evo.heuresys.com\services\api-gateway\src\utils\password-policy.ts,adapted,imported,,12+ char + upper/lower/digit/special enforcement,3fc2117,covered-via-users,no-impact (file isolato),Test Stage
generateSecurePassword,helper,utils/password-policy.ts legacy generateSecurePassword,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\routes\users.ts,utils/password-policy.ts evo,D:\evo.heuresys.com\services\api-gateway\src\utils\password-policy.ts,adapted,imported,,Cryptographic randomBytes shuffle · 4 char classes guaranteed,3fc2117,covered-via-users,no-impact (file isolato),Test Stage
requirePermission lazy wrapper,middleware,N/A (greenfield helper bridge),N/A,middleware/require-permission.ts evo,D:\evo.heuresys.com\services\api-gateway\src\middleware\require-permission.ts,new-greenfield,imported,,Lazy wrapper su buildRequirePermission(getRBPCache()) per evitare init-order issue tra setRBPCache() e router import,e10cb43,covered-via-roles,no-impact (file isolato),Test Stage
ROLES constant + Role type,constant,middleware/auth.ts legacy ROLES,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\middleware\auth.ts,middleware/roles.ts evo,D:\evo.heuresys.com\services\api-gateway\src\middleware\roles.ts,clone-as-is,imported,,8 primary + 6 legacy alias mappings,e10cb43,covered-via-roles,no-impact (file isolato),Test Stage
ROLE_DESCRIPTIONS + LEGACY_ALIAS_MAP + buildRoleHierarchy,constant,inline in legacy roles.ts,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\routes\roles.ts,middleware/roles.ts evo,D:\evo.heuresys.com\services\api-gateway\src\middleware\roles.ts,adapted,imported,,Estratti come constanti + helper riutilizzabili (ROLE_DESCRIPTIONS aggiunto in commit successivo /users),3fc2117,covered-via-roles+users,no-impact (file isolato + uso interno),Test Stage
Prisma allowlist: workforce_plans,model-allowlist,master schema services/app/prisma,D:\evo.heuresys.com\services\app\prisma\schema.prisma,api-gateway pruned schema,D:\evo.heuresys.com\services\api-gateway\prisma\allowlist.txt,adapted,imported,,Required per /workforce-planning router,53a181a,covered-via-workforce,depends-on-router-/workforce-planning · removing requires also removing /workforce + reverting allowlist,Test Stage
Prisma allowlist: workforce_plan_actions,model-allowlist,master schema services/app/prisma,D:\evo.heuresys.com\services\app\prisma\schema.prisma,api-gateway pruned schema,D:\evo.heuresys.com\services\api-gateway\prisma\allowlist.txt,adapted,imported,,Required per /workforce-planning POST /:id/actions,53a181a,covered-via-workforce,depends-on-router-/workforce-planning,Test Stage
Prisma allowlist: workforce_plan_scenarios,model-allowlist,master schema services/app/prisma,D:\evo.heuresys.com\services\app\prisma\schema.prisma,api-gateway pruned schema,D:\evo.heuresys.com\services\api-gateway\prisma\allowlist.txt,adapted,imported,,Required per /workforce-planning scenarios endpoints,53a181a,covered-via-workforce,depends-on-router-/workforce-planning,Test Stage
Prisma allowlist: locations,model-allowlist,master schema services/app/prisma,D:\evo.heuresys.com\services\app\prisma\schema.prisma,api-gateway pruned schema,D:\evo.heuresys.com\services\api-gateway\prisma\allowlist.txt,adapted,imported,,Pre-prep per /tenants/:id/stats Pack 1c · NOT yet used,53a181a,not-yet-used (safe to revert),Test Stage
Prisma allowlist: goals,model-allowlist,master schema services/app/prisma,D:\evo.heuresys.com\services\app\prisma\schema.prisma,api-gateway pruned schema,D:\evo.heuresys.com\services\api-gateway\prisma\allowlist.txt,adapted,imported,,Pre-prep per /tenants/:id/stats Pack 1c · NOT yet used,53a181a,not-yet-used (safe to revert),Test Stage
Prisma allowlist: performance_reviews,model-allowlist,master schema services/app/prisma,D:\evo.heuresys.com\services\app\prisma\schema.prisma,api-gateway pruned schema,D:\evo.heuresys.com\services\api-gateway\prisma\allowlist.txt,adapted,imported,,Pre-prep per Pack 4 Performance · NOT yet used by Pack 1 routes,53a181a,not-yet-used (safe to revert),Test Stage
Prisma allowlist: cost_centers,model-allowlist,master schema services/app/prisma,D:\evo.heuresys.com\services\app\prisma\schema.prisma,api-gateway pruned schema,D:\evo.heuresys.com\services\api-gateway\prisma\allowlist.txt,adapted,imported,,Pre-prep per /employees analytics + future · NOT yet used,53a181a,not-yet-used (safe to revert),Test Stage
bcryptjs ^3.0.3 dep,dependency,services/app/package.json,D:\evo.heuresys.com\services\app\package.json,services/api-gateway/package.json,D:\evo.heuresys.com\services\api-gateway\package.json,clone-as-is,imported,,Required per /users password hash + bulk create,3fc2117,covered-via-users,depends-on-router-/users,Test Stage
@types/bcryptjs ^3.0.0 dep,dependency,services/app/package.json,D:\evo.heuresys.com\services\app\package.json,services/api-gateway/package.json,D:\evo.heuresys.com\services\api-gateway\package.json,clone-as-is,imported,,DevDep · required per typecheck users.ts,3fc2117,covered-via-users,depends-on-router-/users,Test Stage
AUTH_TRUST_HOST=true,env-config,N/A (greenfield fix),N/A,services/api-gateway/.env (gitignored),services/api-gateway/.env,new-greenfield,imported,,Fix UntrustedHost @auth/express in dev runtime,LOCAL-ONLY (gitignored),N/A,no-impact (env-only · gitignored · da replicare cross-machine),Test Stage
SECURITY area RBP DB seed,model-data,inline in legacy DB seed,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\db\seeds\rbp-areas.sql,N/A (NOT YET seeded in evo DB),N/A,skipped,partial,P0 evo seed include solo EMPLOYEES LEAVES PERFORMANCE_REVIEWS AUDIT TENANT_ADMIN · /roles e /users richiedono SECURITY a runtime,SECURITY area runtime requirePermission rifiuta finchè non seedata,N/A,N/A,depends-on-DB-seed (test mockano cache · runtime fail until seeded),Test Stage
PLATFORM area RBP DB seed,model-data,inline in legacy DB seed,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\db\seeds\rbp-areas.sql,N/A (NOT YET seeded in evo DB),N/A,skipped,partial,P0 evo seed mancante PLATFORM area · /tenants richiede PLATFORM a runtime,PLATFORM area runtime requirePermission rifiuta finchè non seedata,N/A,N/A,depends-on-DB-seed,Test Stage
/employees analytics-stats,endpoint-skipped,Express+pgPool+5 raw CTE Promise.all,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\routes\employees.ts,N/A,N/A,skipped,skipped,Heavy CTE aggregation + applyFieldPolicy + cost_centers/performance_reviews dependency · deferred Pack 1c,200+ LOC con 5 query parallele · richiede $queryRaw + role-based field redaction,N/A,N/A,N/A (skipped),Rejected
/employees stats,endpoint-skipped,Express+pgPool+CTE,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\routes\employees.ts,N/A,N/A,skipped,skipped,CTE heavy · deferred Pack 1c,N/A,N/A,N/A,N/A,Rejected
/employees dashboard-stats,endpoint-skipped,Express+pgPool+CTE,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\routes\employees.ts,N/A,N/A,skipped,skipped,CTE heavy · deferred Pack 1c,N/A,N/A,N/A,N/A,Rejected
/employees distribution/department,endpoint-skipped,Express+pgPool+aggregation,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\routes\employees.ts,N/A,N/A,skipped,skipped,Aggregation heavy · deferred Pack 1c,N/A,N/A,N/A,N/A,Rejected
/employees/:id/manager-chain,endpoint-skipped,Express+pgPool+recursive CTE,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\routes\employees.ts,N/A,N/A,skipped,skipped,Recursive CTE → richiede $queryRaw tagged template · deferred Pack 1c,N/A,N/A,N/A,N/A,Rejected
/employees/:id/direct-reports,endpoint-skipped,Express+pgPool+recursive CTE,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\routes\employees.ts,N/A,N/A,skipped,skipped,Recursive CTE · deferred Pack 1c,N/A,N/A,N/A,N/A,Rejected
/employees/:id/career-history,endpoint-skipped,Express+pgPool+career_history model,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\routes\employees.ts,N/A,N/A,skipped,skipped,career_history model fuori allowlist Prisma evo · deferred Pack 1c,N/A,N/A,N/A,N/A,Rejected
/org-units/:id/path,endpoint-skipped,Express+pgPool+recursive CTE,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\routes\org-units.ts,N/A,N/A,skipped,skipped,Recursive CTE for parent chain · deferred Pack 1c,N/A,N/A,N/A,N/A,Rejected
/org-units/:id/move,endpoint-skipped,Express+pgPool+recursive CTE subtree update,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\routes\org-units.ts,N/A,N/A,skipped,skipped,Subtree level recompute · deferred Pack 1c,N/A,N/A,N/A,N/A,Rejected
/workforce-planning/inventory + /gap-risk + /hiring-recommendations + /training-investments + /projections + /scenarios/:id/simulate,endpoint-skipped (8 handler bundle),Express+pgPool+WorkforcePlanningService,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\routes\workforce-planning.ts,N/A,N/A,skipped,skipped,WorkforcePlanningService class ~500 LOC simulation/aggregation · richiede port dedicato Pack 1c,N/A,N/A,N/A,N/A,Rejected
/tenants/:id/stats,endpoint-skipped,Express+pgPool+5 count Promise.all,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\routes\tenants.ts,N/A,N/A,skipped,skipped,Initial blocker: Prisma allowlist mancava locations/goals/performance_reviews · ora allowlist OK ma handler ancora deferred per scope Pack 1 closure,N/A,N/A,N/A,N/A,Rejected
applyFieldPolicy,helper-skipped,utils/field-policy.ts legacy,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\utils\field-policy.ts,N/A,N/A,skipped,skipped,PII role-based redaction · evo P3 RBP enforcement evo già copre access · field-level redaction da valutare con Enzo,N/A,N/A,N/A,N/A,Rejected
WorkforcePlanningService class,helper-skipped,services/workforce-planning/index.ts legacy,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\services\workforce-planning\index.ts,N/A,N/A,skipped,skipped,~500 LOC simulation/aggregation logic · richiede investment Pack 1c dedicato,N/A,N/A,N/A,N/A,Rejected
cachedForTenant + invalidateCachePattern,helper-skipped,services/cache.ts legacy,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\services\cache.ts,N/A,N/A,skipped,skipped,ROI scarso per Tier 1 MVP · valutare con load testing reale,N/A,N/A,N/A,N/A,Rejected
auditedTransaction (P4),helper-greenfield-deferred,N/A (greenfield),N/A,N/A (NOT YET written),N/A,skipped,skipped,P4 audit logging architectural addition · greenfield (legacy NON scrive audit_logs nei route),N/A,N/A,N/A,N/A,Rejected
/nace,endpoint,Express+pgPool+cached helper,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\routes\nace.ts,Express+Prisma withTenant+$queryRawUnsafe,D:\evo.heuresys.com\services\api-gateway\src\routes\nace.ts,adapted,imported,cached() helper non portato (deferred · TTL 3600s acceptable senza per Pack 2),5 handler (sections/divisions/groups/size-classes/hierarchy) · cross-tenant raw SQL · pattern /esco · RBP ESCO_KG.view fallback EMPLOYEES.view,PENDING,13,no-impact (router isolato + 1 mount line index.ts · prisma allowlist +2 model removable),Test Stage
industry_classifications,prisma-allowlist-entry,Prisma model legacy,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\app\prisma\schema.prisma,Prisma allowlist api-gateway,D:\evo.heuresys.com\services\api-gateway\prisma\allowlist.txt,clone-as-is,imported,,Aggiunto Pack 2.1 per /nace · 18 model totali allowlist (era 16),PENDING,N/A,no-impact (rimovibile · solo /nace usa),Test Stage
company_sizes,prisma-allowlist-entry,Prisma model legacy,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\app\prisma\schema.prisma,Prisma allowlist api-gateway,D:\evo.heuresys.com\services\api-gateway\prisma\allowlist.txt,clone-as-is,imported,,Aggiunto Pack 2.1 per /nace size-classes · 18 model totali allowlist (era 16),PENDING,N/A,no-impact (rimovibile · solo /nace size-classes usa),Test Stage
/skills,endpoint,Express+pgPool+cached helper,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\routes\skills.ts,Express+Prisma withTenant+$queryRawUnsafe,D:\evo.heuresys.com\services\api-gateway\src\routes\skills.ts,adapted,imported,cached() helper non portato (TTL 600s deferred Pack 1c · ROI senza load test),10 handler (stats/types/digital/green/search/list/get/post/patch/delete) · 6 read + 4 write · RBP ESCO_KG.view fallback EMPLOYEES.view (read) · ESCO_KG.create/edit/delete (write) · zod CreateSkillBody+UpdateSkillBody · escapeILIKE search · UUID validation,PENDING,24,no-impact (router isolato + 1 mount line index.ts + esco_skills allowlist removable),Test Stage
esco_skills,prisma-allowlist-entry,Prisma model legacy,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\app\prisma\schema.prisma,Prisma allowlist api-gateway,D:\evo.heuresys.com\services\api-gateway\prisma\allowlist.txt,clone-as-is,imported,,Aggiunto Pack 2.2 per /skills · 19 model totali allowlist (era 18),PENDING,N/A,no-impact (rimovibile · solo /skills usa),Test Stage
/skill-analytics,endpoint-skipped,Express+pgPool+SkillAnalyticsService class,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\routes\skill-analytics.ts,N/A,N/A,skipped,skipped,8 endpoint thin wrapper su SkillAnalyticsService 607 LOC con CTE recursive + statistical aggregation + dipende employee_skill_profiles+tenant_jobs+tenant_job_skills (3 model allowlist nuovi) · effort ~1.5h dedicato + seed dati realistici per validare · stesso pattern Pack 1c WorkforcePlanningService,N/A,N/A,N/A,N/A,Rejected
SkillAnalyticsService class,helper-skipped,services/skill-analytics/skill-analytics.service.ts legacy 607 LOC,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\services\skill-analytics\skill-analytics.service.ts,N/A,N/A,skipped,skipped,8 method aggregation logic (heatmap/trends/shortages/ksaba/emerging/department-comparison/summary/coverage) · richiede investment Pack 2.3 dedicato,N/A,N/A,N/A,N/A,Rejected
/skill-assessments,endpoint,Express+pgPool+req.dbClient,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\routes\skill-assessments.ts,Express+Prisma withTenant+$queryRawUnsafe,D:\evo.heuresys.com\services\api-gateway\src\routes\skill-assessments.ts,adapted,imported,,9 handler (stats/skills-summary/gaps/employee/list/get/post/patch/delete) · tenant-scoped via JOIN employees · RBP EMPLOYEES.view (read) + EMPLOYEES.create/edit/delete (write) · zod CreateBody+UpdateBody · escapeILIKE filters · UUID validation,PENDING,24,no-impact (router isolato + 1 mount line index.ts + 1 model allowlist removable),Test Stage
employee_skill_assessments,prisma-allowlist-entry,Prisma model legacy,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\app\prisma\schema.prisma,Prisma allowlist api-gateway,D:\evo.heuresys.com\services\api-gateway\prisma\allowlist.txt,clone-as-is,imported,,Aggiunto Pack 2.4 per /skill-assessments · 20 model totali allowlist (era 19),PENDING,N/A,no-impact (rimovibile),Test Stage
/onet,endpoint-skipped,Express+pgPool+ONetImportService class,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\routes\onet.ts,N/A,N/A,skipped,skipped,16 endpoint thin wrapper su ONetImportService 805 LOC con import pipeline (createImportJob/runImport per full+occupations+skills+abilities+knowledge+activities+links) + ESCO mapping · richiede O*NET CSV/JSON external data + service singleton con pool injection · use case solo seed iniziale non runtime users,N/A,N/A,N/A,N/A,Rejected
ONetImportService class,helper-skipped,services/onet-import.ts legacy 805 LOC,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\services\onet-import.ts,N/A,N/A,skipped,skipped,Heavy import pipeline service · richiede investment Pack 2.5 dedicato + O*NET data files,N/A,N/A,N/A,N/A,Rejected
/skill-taxonomy,endpoint-skipped,Express+pgPool+SkillClassificationService+SkillRelationshipService,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\routes\skill-taxonomy.ts,N/A,N/A,skipped,skipped,31 endpoint thin wrapper su 2 service classes (672+830=1502 LOC) classification (Hard/Soft/Hybrid+CognitiveLevel+SocialDimension) + cluster (families/subfamilies) + relationships (prerequisites/complementary/substitution) + adjacencies (career paths) · richiede seed dati realistici e UI consumer admin per ROI,N/A,N/A,N/A,N/A,Rejected
SkillClassificationService class,helper-skipped,services/skill-classification.ts legacy 672 LOC,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\services\skill-classification.ts,N/A,N/A,skipped,skipped,Heavy domain service · Pack 2.6 dedicato + seed,N/A,N/A,N/A,N/A,Rejected
